# -- A
"Authentication","Autenticação"

# -- B

# -- C

# -- D

# -- E

# -- I

# -- L

# -- N
"None","Nenhum"

# -- P
"Protocol","Protocolo"

# -- S

# -- T

# -- Y
